time,cwnd,ssthresh
1.056000,9.234676,4
1.057000,9.342964,4
1.057000,9.342964,4
1.057000,9.342964,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.142857,4
1.057000,7.282857,4
1.057000,7.420166,4
1.057000,7.554934,4
1.058000,7.687297,4
1.058000,7.817382,4
1.058000,7.945302,4
1.058000,8.071162,4
1.058000,8.195060,4
1.058000,8.317084,4
1.058000,8.437319,4
1.058000,8.437319,4
1.058000,8.437319,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.142857,4
1.059000,7.282857,4
1.059000,7.420166,4
1.059000,7.554934,4
1.059000,7.687297,4
1.059000,7.817382,4
1.059000,7.945302,4
1.059000,8.071162,4
1.059000,8.195060,4
1.059000,8.317084,4
1.059000,8.437319,4
1.059000,8.555840,4
1.059000,8.672719,4
1.059000,8.788023,4
1.059000,8.901814,4
1.059000,9.014152,4
1.060000,9.125089,4
1.060000,9.234676,4
1.060000,9.342964,4
1.060000,9.449997,4
1.060000,9.555817,4
1.060000,9.660465,4
1.060000,9.660465,4
1.060000,9.660465,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.061000,7.142857,4
1.061000,7.282857,4
1.061000,7.420166,4
1.061000,7.554934,4
1.061000,7.687297,4
1.061000,7.817382,4
1.061000,7.945302,4
1.062000,8.071162,4
1.062000,8.195060,4
1.062000,8.195060,4
1.062000,8.195060,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.142857,4
1.062000,7.282857,4
1.062000,7.420166,4
1.062000,7.554934,4
1.063000,7.687297,4
1.063000,7.817382,4
1.063000,7.945302,4
1.063000,8.071162,4
1.063000,8.195060,4
1.063000,8.317084,4
1.063000,8.437319,4
1.063000,8.555840,4
1.063000,8.672719,4
1.063000,8.788023,4
1.063000,8.901814,4
1.063000,9.014152,4
1.063000,9.125089,4
1.063000,9.234676,4
1.063000,9.342964,4
1.064000,9.449997,4
1.064000,9.555817,4
1.064000,9.660465,4
1.064000,9.763980,4
1.064000,9.866397,4
1.064000,9.967752,4
1.064000,9.967752,4
1.064000,9.967752,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.142857,4
1.064000,7.282857,4
1.065000,7.420166,4
1.065000,7.554934,4
1.065000,7.687297,4
1.065000,7.817382,4
1.065000,7.945302,4
1.065000,8.071162,4
1.065000,8.195060,4
1.065000,8.317084,4
1.065000,8.437319,4
1.065000,8.555840,4
1.065000,8.672719,4
1.065000,8.788023,4
1.065000,8.901814,4
1.066000,9.014152,4
1.066000,9.125089,4
1.066000,9.234676,4
1.066000,9.342964,4
1.066000,9.449997,4
1.066000,9.555817,4
1.066000,9.660465,4
1.066000,9.763980,4
1.066000,9.866397,4
1.066000,9.967752,4
1.066000,10.068075,4
1.066000,10.167399,4
1.066000,10.265753,4
1.067000,10.363164,4
1.067000,10.459660,4
1.067000,10.555265,4
1.067000,10.650005,4
1.067000,10.743902,4
1.067000,10.836978,4
1.067000,10.929255,4
1.067000,11.020752,4
1.067000,11.111490,4
1.067000,11.201488,4
1.067000,11.290761,4
1.067000,11.379329,4
1.067000,11.467207,4
1.067000,11.554412,4
1.067000,11.640959,4
1.067000,11.726862,4
1.067000,11.726862,4
1.067000,11.726862,4
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.125000,5
1.068000,8.248077,5
1.068000,8.369318,5
1.068000,8.488802,5
1.068000,8.606605,5
1.068000,8.722795,5
1.068000,8.837437,5
1.068000,8.950592,5
1.068000,9.062317,5
1.068000,9.172664,5
1.068000,9.281683,5
1.068000,9.389422,5
1.068000,9.495925,5
1.069000,9.601233,5
1.069000,9.705387,5
1.069000,9.808423,5
1.069000,9.910377,5
1.069000,10.011281,5
1.069000,10.011281,5
1.069000,10.011281,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.125000,5
1.069000,8.248077,5
1.070000,8.369318,5
1.070000,8.488802,5
1.070000,8.606605,5
1.070000,8.722795,5
